player,matches_2025,total_pts_2025,avg_pts_2025,median_pts_2025,std_pts_2025,floor_p10_2025,ceiling_p90_2025,avg_batting_pts,avg_bowling_pts,avg_fielding_pts,team_2025,typical_bat_pos_2025,avg_overs_bowled_2025
Sameer Rizvi,4,263,65.8,60.5,52.5,19.2,116.5,55.8,0.0,4.0,Delhi Capitals,4.0,0.0
Sandeep Sharma,10,368,36.8,37.5,22.7,11.1,67.0,0.6,33.2,0.6,Rajasthan Royals,11.0,3.6
Sediqullah Atal,1,40,40.0,40.0,,40.0,40.0,34.0,0.0,0.0,Delhi Capitals,4.0,0.0
Shahbaz Ahmed,3,58,19.3,18.0,19.0,4.4,34.8,4.3,13.7,0.0,Lucknow Super Giants,8.0,2.8
Shashank Singh,14,739,52.8,37.5,47.0,5.3,114.5,42.7,0.2,4.0,Punjab Kings,6.0,0.1
Shubman Gill,15,1346,89.7,78.0,63.0,14.4,173.4,78.5,0.0,4.5,Gujarat Titans,2.0,0.0
Simarjeet Singh,4,83,20.8,6.5,30.2,4.6,48.3,0.2,20.5,0.0,Sunrisers Hyderabad,9.0,2.5
Suryansh Shedge,3,22,7.3,6.0,8.1,1.2,14.0,2.3,0.3,2.7,Punjab Kings,7.0,1.0
Suyash Sharma,14,452,32.3,15.5,38.1,5.2,76.7,0.0,28.1,0.6,Royal Challengers Bengaluru,,3.6
T Natarajan,2,49,24.5,24.5,36.1,4.1,44.9,0.0,23.5,0.0,Delhi Capitals,,2.1
T Stubbs,14,683,48.8,59.5,28.2,7.8,73.4,35.0,0.2,6.9,Delhi Capitals,6.0,0.1
T Vijay,1,12,12.0,12.0,,12.0,12.0,0.0,0.0,8.0,,,0.0
TA Boult,16,947,59.2,45.5,45.3,9.0,123.0,0.1,55.2,0.5,Mumbai Indians,10.0,3.6
TH David,10,479,47.9,44.5,38.9,5.9,94.5,35.5,0.0,6.2,Royal Challengers Bengaluru,7.0,0.0
TM Head,12,824,68.7,44.0,57.4,12.8,149.3,59.8,0.0,2.0,Sunrisers Hyderabad,2.0,0.0
TU Deshpande,10,370,37.0,30.0,36.0,0.9,75.9,0.7,33.3,1.6,Rajasthan Royals,10.0,3.2
Tilak Varma,16,737,46.1,41.0,37.9,11.5,97.0,36.2,0.0,4.5,Mumbai Indians,5.0,0.0
Urvil Patel,3,170,56.7,73.0,48.6,16.2,90.6,43.3,0.0,5.3,Chennai Super Kings,3.0,0.0
V Kohli,15,1277,85.1,97.0,46.9,18.6,134.0,76.2,0.0,2.4,Royal Challengers Bengaluru,2.0,0.0
V Nigam,14,796,56.9,49.0,48.4,7.3,105.4,18.6,30.6,3.0,Delhi Capitals,8.0,2.8
V Puthur,5,234,46.8,36.0,35.3,22.4,81.0,0.0,41.6,1.6,Mumbai Indians,,2.4
V Shankar,5,222,44.4,27.0,40.3,15.2,87.8,36.8,0.0,3.2,Chennai Super Kings,4.0,0.0
V Suryavanshi,7,556,79.4,74.0,75.8,8.0,159.8,71.7,0.0,0.0,Rajasthan Royals,2.0,0.0
VG Arora,12,716,59.7,50.0,30.7,32.5,97.2,0.0,54.0,3.7,Kolkata Knight Riders,10.0,3.5
VR Iyer,8,322,40.2,16.5,49.1,10.5,104.1,30.2,0.0,4.8,Kolkata Knight Riders,5.0,0.0
Vijaykumar Vyshak,5,175,35.0,46.0,28.4,5.0,60.8,0.0,31.8,1.6,Punjab Kings,,3.4
W O'Rourke,3,217,72.3,69.0,41.1,40.2,105.8,0.0,69.0,2.7,Lucknow Super Giants,,3.4
WG Jacks,13,751,57.8,40.0,46.8,12.6,126.0,31.3,16.9,4.2,Mumbai Indians,3.0,1.1
Washington Sundar,6,361,60.2,50.0,34.8,29.0,101.5,37.2,14.0,4.0,Gujarat Titans,4.0,1.8
XC Bartlett,4,157,39.2,41.0,25.6,15.3,61.8,3.8,22.0,10.0,Punjab Kings,10.0,2.5
YBK Jaiswal,14,1241,88.6,99.5,50.4,21.3,138.8,76.2,0.0,5.7,Rajasthan Royals,1.0,0.0
YS Chahal,13,647,49.8,37.0,49.9,5.6,133.0,0.0,45.6,1.2,Punjab Kings,,3.5
Yash Dayal,15,591,39.4,41.0,29.0,6.6,84.6,0.3,35.1,1.6,Royal Challengers Bengaluru,10.0,3.3
Yash Thakur,2,43,21.5,21.5,29.0,5.1,37.9,0.0,20.5,0.0,Punjab Kings,,3.2
Yudhvir Singh,4,156,39.0,24.5,46.0,4.9,84.7,0.0,39.5,0.0,Rajasthan Royals,,2.8
Zeeshan Ansari,10,294,29.4,19.0,32.3,5.4,54.1,0.0,24.0,3.0,Sunrisers Hyderabad,,3.4
