player,rank,tier,cliff,pct_drop,matches,modal_role,pred_pts_per_match,pred_season_total,mean_pts,median_pts,std_pts,floor_p10,ceiling_p90,cv,dud_rate,boom_rate,expected_games,games_confidence,batting_pts_pct,bowling_pts_pct,prev_total,gap,team_2025,typical_bat_pos,avg_overs_bowled
Arshdeep Singh,36,5,False,1.9,16,Pure Bowler,39.14024421830179,470.0,58.5625,54.0,43.898320013412814,6.0,112.0,0.75,0.25,0.5,12.0,High,0.2,88.7,479.0,9.0,Punjab Kings,10.0,3.6
TH David,37,5,False,0.4,10,Lower Middle Bat,58.49496503087456,468.0,47.9,44.5,38.87429885041158,5.9,94.5,0.81,0.2,0.3,8.0,Medium,74.1,0.0,470.0,2.0,Royal Challengers Bengaluru,7.0,0.0
A Raghuvanshi,38,6,False,2.1,11,Middle Order Bat,50.84431754057953,458.0,53.27272727272727,56.0,28.625481337755385,13.0,78.0,0.54,0.18,0.36,9.0,Medium,86.0,0.0,468.0,10.0,Kolkata Knight Riders,4.0,0.0
RM Patidar,39,6,False,1.5,14,Middle Order Bat,40.998572229796125,451.0,44.57142857142857,28.5,35.60188907199315,15.5,95.70000000000005,0.8,0.14,0.21,11.0,Medium,85.3,0.0,458.0,7.0,Royal Challengers Bengaluru,4.0,0.0
JP Inglis,40,6,False,0.9,11,Top Order Bat,49.68323267290472,447.0,61.09090909090909,65.0,42.02726387823634,23.0,100.0,0.69,0.0,0.55,9.0,Medium,75.9,0.0,451.0,4.0,Punjab Kings,3.0,0.0
Priyansh Arya,41,6,False,0.2,18,Opener,31.87163436724483,446.0,67.83333333333333,51.0,59.46946819216414,12.000000000000002,147.3,0.88,0.11,0.33,14.0,High,84.3,0.0,447.0,1.0,Punjab Kings,1.0,0.0
PJ Cummins,42,6,False,0.4,14,Pure Bowler,40.386445038388885,444.0,62.07142857142857,65.0,51.71737438411596,5.800000000000001,126.7,0.83,0.29,0.57,11.0,Medium,18.8,72.0,446.0,2.0,Sunrisers Hyderabad,8.0,3.6
Aniket Verma,43,6,False,1.8,13,Lower Middle Bat,43.62631119791685,436.0,41.69230769230769,26.0,39.22878325792728,13.4,76.80000000000001,0.94,0.15,0.23,10.0,Medium,78.2,0.0,444.0,8.0,Sunrisers Hyderabad,6.0,0.0
V Nigam,44,6,False,0.0,14,Pure Bowler,39.66231803971028,436.0,56.85714285714285,49.0,48.37808967331762,7.3,105.4,0.85,0.29,0.5,11.0,Medium,32.7,53.8,436.0,0.0,Delhi Capitals,8.0,2.8
DL Chahar,45,6,False,1.6,14,Pure Bowler,39.03321501339315,429.0,41.35714285714285,42.5,29.593676930819434,7.6,81.90000000000002,0.72,0.29,0.21,11.0,Medium,11.2,77.7,436.0,7.0,Mumbai Indians,9.0,2.9
D Brevis,46,6,False,2.3,6,Middle Order Bat,83.78378402921855,419.0,84.16666666666667,85.0,39.23476349701456,44.0,123.5,0.47,0.0,0.83,5.0,Low,81.8,0.0,429.0,10.0,Chennai Super Kings,5.0,0.0
RD Rickelton,47,6,False,0.5,14,Opener,37.88136945406775,417.0,71.0,61.5,39.2251881399616,31.2,127.7,0.55,0.0,0.5,11.0,Medium,73.4,0.0,419.0,2.0,Mumbai Indians,1.0,0.0
RR Pant,48,6,False,0.2,14,Middle Order Bat,37.85926347720839,416.0,42.92857142857143,23.5,62.62030180222863,6.0,95.60000000000008,1.46,0.36,0.14,11.0,Medium,80.0,0.0,417.0,1.0,Lucknow Super Giants,4.0,0.0
